oracle,inst_gpt
Students enjoyed learning about blockchain and crypto. A few students are confused about how data visualization works andd about network bottlenecks. Your students seem to enjoy real world examples so I would suggest reviewing these topics with a few real world examples.,"
Most students found the class to be straightforward and understandable, although some found blockchain, data visualization, network bottlenecks, and Bitcoin a bit confusing. Further explanation of these topics may be beneficial."
Students enjoyed learning about binary numbers and how to convert to and from them. Along with that they also enjoyed learning how binary numbers impact computers. A few students liked learning about the concept of abstraction.,"
Most students found the concepts of binary numbers and encoding schemes interesting, as well as the conversion of binary to other bases. The idea of abstraction and how words can be represented with binary was also intriguing."
Students enjoyed learning about how Netflix works and how super computers work. Along with those they also enjoyed learning about the Amazon Turk. There seems to be no confusion over the material covered in class.,"
The students found the topics of Amazon Mechanical Turk, Bitcoins, Network Bottlenecks, Super Computers, Content Delivery Network, and Distributed Information with Netflix to be the most interesting. They were fascinated by the possibilities that could arise from the final project."
There was no confusion over the material covered in class. Some students seem to have a few questions related to anti-affordances and their purpose. I would suggest going over an example over anti-affordances so that the students can clear up their doubts.," Most students understood the material covered in class. However, some were still confused about the difference between signifier and anti-affordance, as well as the conversion of binary numbers."
Students enjoyed learning about the different types of data structures and what their purposes are. They also liked learning about the differences betweent these structures and functions. A few students from the Finding Names Question fun on TopHat.,"
Most students found the lecture on data structures interesting, with particular interest in the prefix tree, recursive functions, name tree, and relationship between structure and function. Examples of different structures and their real-world applications also drew attention."
"In this Lecture students enjoyed learning about research opportunities available, as well as the different majors offered in SCI. They found the explanation of course content interesting, as well as learning a bit about the professor!","
Most students found the research opportunities presented in class interesting, as well as the Smart City project, Digital Narrative and Interactive Design major, and the professor's work. They were also intrigued by the different fields of Computing and Information, and the TopHat app."
"In this lecture, students enjoyed the discussion of different animal computing examples (expecially carrier pigeons) in comparison to machine computing processes. Students additionally found other real-life examples provided interesting, such as that of the postal service. Students also found IPOAC and multiplexing interesting, as well as communication processes in general.","
Most students found the examples of real world communication interesting, such as the use of pigeons and ants, as well as the comparison between humans, animals, and computers. They also enjoyed discussing multiplexing, latency, and the IAPoC system."
Two students specifically pointed out that they are confused what Entropy is and how to carry out the calculations. One student specifically pointed out they are confused on the Weissman score and how it's used to evalute compression algorithms.,"
Most students had difficulty understanding LZW compression, entropy, graph performance, Weissman scores, and the types and differences of graphs."
"In this lecture, students seem to be really interested in learning about compression alogrithms given it's application to everyday computational tasks. They also seemed to learn about Huffman compression tree and how the collection of trees creates a forest.","
Most of the students found the topics of lossy vs lossless compression, Huffman Compression, Tries and DLB Node interesting, as well as the creation of a forest and making a single tree from an entire forest."
"An overwheeling amount of students from the survey response pool stated DFS and BFS was the main topic of confussion from this lesson. A few also mentioned other topics such as the wrapper function, prims algoirthm, and articulation. One student specifically asked how articulation is used for the project. ","
Most of the students found DFS/BFS, wrapper function, articulation points, preorder traversal, and Prim's algorithms confusing. Further review of these concepts is suggested."
