generation,oracle
"Using the charges and electric field to calculate torque
The experiment when when could see the diopole, and the whole concept of polar molecules like water.
In today's class, I found it interesting that electric fields work how wind works. I learned that wind has many vectors as does electric fields.
The fact that water can suspend in midair due to electric fields!
visualizing electric fields. Drawing abstract concepts makes them easier to understand.","In today's class, I found it interesting that electric fields work how wind works. I learned that wind has many vectors as does electric fields.
The experiment when when could see the diopole, and the whole concept of polar molecules like water.
Torque and potential energy and how they apply to electric fields
How dipoles give molecules their unique properties
visualizing electric fields. Drawing abstract concepts makes them easier to understand."
"The initial set up. Specifically the limits of integration and the variable of integration.
Some of the Calc concepts needed some review before I could fully apply them to Physics.
Determining when to use cos or sin for integration of a ring of charge. Also drawing dE vectors along the z-axis was a bit confusing for me.
The class problem regarding finding the x component of Electric field.
I am somewhat confused on what dq/ds represent in the problems in parts 3/4 of this lecture series.","The ring of charge section was the most confusing. Setting it up and finding E parallel and E perpendicular was the most confusing for me
While I understand the solving the integral process, I could use more clarity/examples of setting up integrals in different situations. Also, a deeper explanation of what exactly is happening to the electric field when influenced by an extended charge.
I felt the lecture was going too fast and felt that we should go over details more rather than flying through each tophat question.
I am really having trouble setting up integrals for the electric field. I don't understand how to set it up given the linear density and the charge.
The initial set up. Specifically the limits of integration and the variable of integration."
"Batteries and circuits are intriguing. I like to learn about currents and how energy within batteries work
The circuit analysis about the voltage in loops summing to 0.
I found the ammeters and voltmeters interesting because they can both be used in the same circuit but for different reasons.
The grounding was very interesting.
i thought that the applications of grounding and how that could simplify complicated circuits was interesting","The amount of info we can determine from a simple circuit with proper analysis is very cool.
I thought grounding was interesting. I never understood what grounding meant before.
I found the ammeters and voltmeters interesting because they can both be used in the same circuit but for different reasons.
i liked that no matter which path you took to find current in a circuit, you'll get the same value.
I found it interesting using the loop rule to solve the last problem because it made the problem more simple than I initially thought."
"I was confused with the partial integrals, as I have never seen those before. Also, when there are multiple charges, some of the calculations become less clear.
one thing that was confusing for me was the actual calculations regarding the topic. I was a bit confused on that part of the concept quiz.
Calculating cylindrical capacitors
The difference between the two variables that use U was very confusing. How energy relates to capacitance just wasn't clear to me.
I am not sure what the difference between u and v is. They seem to be interchangeable?","one thing that was confusing for me was the actual calculations regarding the topic. I was a bit confused on that part of the concept quiz.
The difference between the two variables that use U was very confusing. How energy relates to capacitance just wasn't clear to me.
Calculating cylindrical capacitors
In video 2, why did U and V start at the same place?
In today's class I found it confusing how the units work between charge and capacitance and electric potential. I found it confusing what a farad is."
"I was a little confused about the last example in lecture for finding the voltage in each resistor because I wasn't sure how the amps split in the circuit
Re-drawing and simplifying circuits is still a bit confusing
I think find emf and voltage difference could be gone over a little more. Maybe an example with a diagram instead of graph would benefit us more conceptually
Resistors
The group problems","It wasn't confusing, but I think going over Ohm's law and when you can and can't use it would be helpful
I found resistors in series fairly confusing just because I find myself getting tripped up with how to add voltage in the series.
I thought the examples at the end of the cuvids for the first set were a little confusing, I wasn't sure how the equations were derived
the relationship between the internal voltage of a battery vs. the external voltage.
Trying to figure out if things are in series or parallel"
"The current density was the most confusing for me because I was just a bit confused on how to set up the integral.
Series capacitors and resistance
I thought that it was a little confusing why in the 1st example you performed you added the non matching capacitance (C3) with C2 and plugged that into the expression. and on our sapling concept quiz, we instead used expression (C1*C2)/(C1+C2)+ C3.  why were we allowed to do that for that problem and not this one? genuinely confused.
I was confused about how you know when capacitors are in parallel with each other.
I'm having trouble conceptualizing and visualizing these topics so examples and explanations of concepts would help. Also, how is electric current/density acts in insulators","I'm a little confused on how charge is distributed on capacitors in series vs capacitors in parallel.
I thought that it was a little confusing why in the 1st example you performed you added the non matching capacitance (C3) with C2 and plugged that into the expression. and on our sapling concept quiz, we instead used expression (C1*C2)/(C1+C2)+ C3. why were we allowed to do that for that problem and not this one? genuinely confused.
I was confused about how you know when capacitors are in parallel with each other.
The only thing I felt was kind of confusing was charge density. In lecture, you said that current density and the electric field went in opposite directions and I found that slightly perplexing.
The current density was the most confusing for me because I was just a bit confused on how to set up the integral."
"I think the most interesting part was the use of break out rooms to allow the students to collaborate on a problem
I enjoyed when we got to work on the problem in groups of 4. It allowed for discussion between classmates.
I enjoyed going over answers and work during the breakout room session for the one top hat question.
I liked the way the professor described vector addition as adding a negative vector. I have never been taught i that way, and it makes vector subtraction much easier.
I liked getting to use top hat during class and getting put into the break out rooms. I think that it made class more interesting and helped to keep me engaged in what was going on.","I thought vector additions was the most interesting because of the easy system of steps that need to be followed to solve problems. I really like when things are laid out clearly and the steps are easy tofollow.
I was most interested by the break out groups because it allowed us to work on the question together. If one person was stuck we could ask another for help and it's nice to have a peer help sometimes because they have a different viewpoint from the professor or TAs.
The examples that were given in class were very informative and I felt like they helped me with the overall course content. I personally feel like it was important for me to see those examples
I really enjoyed the way class was formatted! I like that we aren't just repeating the book/notes we took ahead of time. I am fully engaged inpractice problems, and thus find them more interesting.
I enjoyed using Top Hat because it kept me active during the lesson."
"When using gravity in equations for free body diagrams, why is it represented a positive instead of negative?
The problem that involved the man pulling himself up on a pulley was difficult to understand.  If the man is pulling down with the same force as the tension, shouldn't that cancel out one of the tensions ?
In today's lecture, I was bit confused by the free body diagram of friction. How would friction change if the normal force was at an angle to the horizontal?
The last example we did in class. My group overthought it and then the solution was so simple.
I was confused about the relation of the force when the rope was pulled down on the pulley. It was also unclear where the equations we used in the problems derived from.","The problem that involved the man pulling himself up on a pulley was difficult to understand.  If the man is pulling down with the same forceas the tension, shouldn't that cancel out one of the tensions ?
The top hat problem with the 3 blocks. We covered this towards the end, and as we were crunched for time, I thought the problem wasn't discussed as much as I would've liked.
In today's lecture, I was bit confused by the free body diagram of friction. How would friction change if the normal force was at an angle to the horizontal?
The fact of there being two tensions confused me for one of the first questions we did. I didn't quite get the 2T, but I think I understand it now after it was explained.
Force magnitudes when there are multiple masses such as a person pushing on three rocks. It's just sometimes confusing on which masses to add or the exact forces acting on the masses."
"I think the weighted decision matrix needed more explanation on how the numbers worked. Otherwise I understood today's class
Everything sounded good.
The WDM was a little confusing. I was confused with the xsl file format. And the text towards the bottom.
The whole setup behind a weighted matrix is still confusing to me, and i do not see a significant benefit behind it yet
I was very confused about the in class activity. I watched the module video but I didn't feel that we talked about making these models a lot until after we did the in-class activity.","The due date of assignment 18 was confusing
I was a little confused about what to put as the metrics in the weighted decision matrix at first.
Part of the decision matrix discussion was a little confusing on all of the different aspects that were needed in parts one, two, and three.
I was a little confused on how to choose my criteria for the in class activity.
I wasn't completely sure about what to do for the in class activity because the template had a lot of slots to fill out but we only had todo some of it, but it wasn't completely clear about what parts we were supposed to do."
"How to use regression lines for excel
The class was a good class. There wasn't anything particularly interesting but at the same time there wasn't anything boring. I enjoyed the amount of time we were given to work with our groups near the end.
The most interesting part of class was learning how to use excel charts to figure out the mathematical model (linear regression) between variables.
I found the scatter plots to be the most interesting thing.
The graphs, we went over how to insert the linear regression lines.","The linear regression was fun to learn about.
Learning about the values of r and how they relate to the accuracy of a trend line
Working with my group on both the in class assignment and the A10 assignment.
I enjoyed talking about regression lines correlations and playing the correlation game.
I found it interesting that it is so easy to do complex, helpful calculations in Excel."
"Using excel is still very confusing.
I found z-scores and talking about standard deviation and area under the curve confusing. I'm not sure what it all represents and how to use those numbers to interpret data
Nothing has the chance to be confusing because every class is simply a rehash of the modules, with no new content. It is simply tedious.
I believe in today's lecture they probably could've been a better instruction on the fact that only one person had to submit the skittles data. Therefore we would be about to do all of our assignment right away.
I was confused on what what our in class participation was for 3b. I wasn't sure if we needed to submit anything or not.","The directions for the skittles activity in class were sort of confusing at first, but our team figured out what needed to be done
Assignment 08 was confusing because the directions were not clear. I had my hand raised in the breakout room and no one came.
I didn't quite fully grasp what z tables were and how do we figure out what values to use for funding the numbers
The formulas that we went over today are somewhat confusing to me. Other than that I thought class was very good!
I am still confused about how to create and use histograms and the shortcuts for using excel. The normal distribution questions are also confusing."
"I did not find any part of today's class to be confusing or unclear.
I was confused on the feedback part of assignment 17. I was not really sure where the feedback was coming from. After my team and I talked to my TA it was a lot clearer!
The most confusing part of today was figuring out where and who we would be getting feedback from.  Since we didn't have feedback yet we were confused what we should use for part 5.
It was confusing what part V was supposed to resemble and what iteration #1 meant. It was confusing that there was no explanation for this assignment.
Some of the specific things about A17 like how many ideas we need and the stuff Jeff mentioned at the end being brought up for the first time.","How much of The iteration we are supposed to do for A17
Hearing about the first iteration feedback left us without a real answer.
It is confusing on what we are supposed to build for our prototypes.
I was confused on which assignment we were supposed to be doing because online it said 5,6 but it was fixed.
I was confused at what parts of the project we actually need to complete."
"I think that the class today was executed well and I'm starting to understand the class in a greater depth.
More feedback on our submitted work.
I believe that there was nothing really confusing about today's class. Information was given really well.
I was a little confused on how to work a part of the purdue library and google scholar.
I was confused on when we start A11 because it said we started it today in class however I didn't see A11 in 4A Assignments started in class and on the last slide about due dates it said A11 is due at the beginning of 5B","My team was confused when looking at the assignment 10. We didn't know how we should make the mathematical/physical models. I think we should go over that next class.
More feedback on our submitted work.
I did not understand the APA style of notation. In this class, I have gotten points taken off for having the assignment in APA. I cannot find a resource to how to make these references correctly.
The date which assignment A10 is due was the most confusing part about the lecture today.
How to perform some of the calculations on the assignment given."
