generation,oracle
"i found the open ended top hat questions interesting because they required multiple concepts to be applied which made it all seem more connected and easier to understand conceptually
The experiment when when could see the diopole, and the whole concept of polar molecules like water.
How dipoles give molecules their unique properties
I love math so it was a relief to see Taylor series. I also enjoy the connections between chemistry like K and dipole dipole moments in water molecules
I found shell's theorem to be the most interesting part about today's lecture.","In today's class, I found it interesting that electric fields work how wind works. I learned that wind has many vectors as does electric fields.
The experiment when when could see the diopole, and the whole concept of polar molecules like water.
Torque and potential energy and how they apply to electric fields
How dipoles give molecules their unique properties
visualizing electric fields. Drawing abstract concepts makes them easier to understand."
"the integrations were confusing but i think i just need to focus more and review calc
The second question on the concept quiz gave me issues and made me pretty confused, especially when it came to setting up the integral.
I am really having trouble setting up integrals for the electric field. I don't understand how to set it up given the linear density and the charge.
The limits on the integrals confused me the most. I did not know why some of them changed midway through the problem.
I am confused on how to figure out what dq should be in example problems that use that equation","The ring of charge section was the most confusing. Setting it up and finding E parallel and E perpendicular was the most confusing for me
While I understand the solving the integral process, I could use more clarity/examples of setting up integrals in different situations. Also, a deeper explanation of what exactly is happening to the electric field when influenced by an extended charge.
I felt the lecture was going too fast and felt that we should go over details more rather than flying through each tophat question.
I am really having trouble setting up integrals for the electric field. I don't understand how to set it up given the linear density and the charge.
The initial set up. Specifically the limits of integration and the variable of integration."
"The computer circuit was the most interesting part of class today because I would never be able to understand that in my life.
i liked that no matter which path you took to find current in a circuit, you'll get the same value.
I thought grounding was interesting. I never understood what grounding meant before.
Voltmeters and ammeters are really interesting in that I think it's cool that we can actually measure these concepts (voltage and current) pretty easily
How ammeters and voltmeters play a role in circuits","The amount of info we can determine from a simple circuit with proper analysis is very cool.
I thought grounding was interesting. I never understood what grounding meant before.
I found the ammeters and voltmeters interesting because they can both be used in the same circuit but for different reasons.
i liked that no matter which path you took to find current in a circuit, you'll get the same value.
I found it interesting using the loop rule to solve the last problem because it made the problem more simple than I initially thought."
"In today's class I found it confusing how the units work between charge and capacitance and electric potential. I found it confusing what a farad is.
Calculating cylindrical capacitors
In video 2, why did U and V start at the same place?
Are capitators used specifically in circuits are can they be observed in nature.
I'm a bit confused by how the equations relate together so more explanation and examples would be great.","one thing that was confusing for me was the actual calculations regarding the topic. I was a bit confused on that part of the concept quiz.
The difference between the two variables that use U was very confusing. How energy relates to capacitance just wasn't clear to me.
Calculating cylindrical capacitors
In video 2, why did U and V start at the same place?
In today's class I found it confusing how the units work between charge and capacitance and electric potential. I found it confusing what a farad is."
"I found resistors in series fairly confusing just because I find myself getting tripped up with how to add voltage in the series.
Resistors
I think find emf and voltage difference could be gone over a little more. Maybe an example with a diagram instead of graph would benefit us more conceptually
The conceptual tophat questions about current vs voltage were most confusing for me because I don't fully understand the relationship between the two.
More examples and discussion of differences between conductors, semiconductors etc","It wasn't confusing, but I think going over Ohm's law and when you can and can't use it would be helpful
I found resistors in series fairly confusing just because I find myself getting tripped up with how to add voltage in the series.
I thought the examples at the end of the cuvids for the first set were a little confusing, I wasn't sure how the equations were derived
the relationship between the internal voltage of a battery vs. the external voltage.
Trying to figure out if things are in series or parallel"
"Deciding between parallel and series
I thought that it was a little confusing why in the 1st example you performed you added the non matching capacitance (C3) with C2 and plugged that into the expression. and on our sapling concept quiz, we instead used expression (C1*C2)/(C1+C2)+ C3.  why were we allowed to do that for that problem and not this one? genuinely confused.
The difference in using the formula c1*c2/c1+c2 vs using the equation for parallel capacitance or series capacitance confuses me a bit on the concept quiz.
I found it confusing defining what C equivalence was.
Simplifying circuit diagrams by re-orienting capacitors is still a bit unclear to me when there are many different branches involved.","I'm a little confused on how charge is distributed on capacitors in series vs capacitors in parallel.
I thought that it was a little confusing why in the 1st example you performed you added the non matching capacitance (C3) with C2 and plugged that into the expression. and on our sapling concept quiz, we instead used expression (C1*C2)/(C1+C2)+ C3. why were we allowed to do that for that problem and not this one? genuinely confused.
I was confused about how you know when capacitors are in parallel with each other.
The only thing I felt was kind of confusing was charge density. In lecture, you said that current density and the electric field went in opposite directions and I found that slightly perplexing.
The current density was the most confusing for me because I was just a bit confused on how to set up the integral."
"I enjoyed going over answers and work during the breakout room session for the one top hat question.
The most interesting material in this lecture was using unit vectors to easily add each component of a vector to find its total length.
I thought vector additions was the most interesting because of the easy system of steps that need to be followed to solve problems. I really like when things are laid out clearly and the steps are easy to follow.
The format. I've never had a flipped class like this one so it was unusual to have the small time for review and then immediately in to problem solving. I've also never heard vector addition described with the principle of moving backwards along one arrow and that that's why you subtract it (rather than in reference to the idea that origin doesn't matter and therefore whatever the starting location is should be subtracted out from every piece)
It was very entertaining which makes it a lot easier to pay attention too","I thought vector additions was the most interesting because of the easy system of steps that need to be followed to solve problems. I really like when things are laid out clearly and the steps are easy tofollow. 
I was most interested by the break out groups because it allowed us to work on the question together. If one person was stuck we could ask another for help and it's nice to have a peer help sometimes because they have a different viewpoint from the professor or TAs.
The examples that were given in class were very informative and I felt like they helped me with the overall course content. I personally feel like it was important for me to see those examples
 I really enjoyed the way class was formatted! I like that we aren't just repeating the book/notes we took ahead of time. I am fully engaged inpractice problems, and thus find them more interesting.
 I enjoyed using Top Hat because it kept me active during the lesson."
"I thought setting up the free body diagrams was challenging at times.  This is because I was sometimes confused on knowing where to place my force vectors.
When using gravity in equations for free body diagrams, why is it represented a positive instead of negative?
How you could put more than one object in a system
doubling the force of tension
I'm a bit confused on the most efficient way to solve for a variable","The problem that involved the man pulling himself up on a pulley was difficult to understand.  If the man is pulling down with the same forceas the tension, shouldn't that cancel out one of the tensions ?
The top hat problem with the 3 blocks. We covered this towards the end, and as we were crunched for time, I thought the problem wasn't discussed as much as I would've liked. 
In today's lecture, I was bit confused by the free body diagram of friction. How would friction change if the normal force was at an angle to the horizontal? 
The fact of there being two tensions confused me for one of the first questions we did. I didn't quite get the 2T, but I think I understand it now after it was explained. 
 Force magnitudes when there are multiple masses such as a person pushing on three rocks. It's just sometimes confusing on which masses to add or the exact forces acting on the masses."
"I think it was really clear. However, I would have liked if the TA's came to the breakout rooms so that we can all discuss about the career WDM. I think they know valuable information.
Nothing was confusing, there was a good explanation of weighted decision matrixes.
I wasn't completely sure about what to do for the in class activity because the template had a lot of slots to fill out but we only had to do some of it, but it wasn't completely clear about what parts we were supposed to do.
I was very confused by what was supposed to go onto criteria and what was supposed to go into metrics. The difference between the two was not clear.
The WDM was a little confusing. I was confused with the xsl file format. And the text towards the bottom.","The due date of assignment 18 was confusing 
I was a little confused about what to put as the metrics in the weighted decision matrix at first. 
Part of the decision matrix discussion was a little confusing on all of the different aspects that were needed in parts one, two, and three. 
I was a little confused on how to choose my criteria for the in class activity.
 I wasn't completely sure about what to do for the in class activity because the template had a lot of slots to fill out but we only had todo some of it, but it wasn't completely clear about what parts we were supposed to do."
"The class was a good class. There wasn't anything particularly interesting but at the same time there wasn't anything boring. I enjoyed the amount of time we were given to work with our groups near the end.
I found it interesting how we can use the r and r squared along with a trend like to see just how accurate we are.
What I found most interesting is the different equations used to determine whether a trend line matches the data well or not
I liked revisiting how a linear regression in least squares method is calculated and evaluated.
Knowing how to use and model equations with the laminar approach was helpful with understanding our data.","The linear regression was fun to learn about.
Learning about the values of r and how they relate to the accuracy of a trend line
Working with my group on both the in class assignment and the A10 assignment.
I enjoyed talking about regression lines correlations and playing the correlation game.
I found it interesting that it is so easy to do complex, helpful calculations in Excel."
