generation,oracle
" I think the angle at which flux flows from an object is a bit confusing. The first problem on the concept quiz deals with this. 
 More examples would be helpful for further understanding. 
 i think the last practice problem we did in class could've been done slower to make it easier to comprehend. i had to think it over for a few minutes after class ended for it to come to me 
 I was confused about why we find the areas of the three different parts of the cylinder, and how we do this. 
 I did not understand why the electric field inside of a solid, uniform, insulating sphere (rR). ","I did not understand why the electric field inside of a solid, uniform, insulating sphere (r<R) is greater than the field outside of it (r>R).
I think the idea and concepts make sense, but I am confused about what shapes to choose as the Gaussian surface. Can you choose any shape? Are there multiple shapes that will still give the same answer as the cylinder? Also, the conductor vs insulator in reference to Gauss' law is confusing to me
The second question on the concept quiz confused me, I wasn't sure how positive and negative charges being outside or inside affect flux.
I think the angle at which flux flows from an object is a bit confusing. The first problem on the concept quiz deals with this.
I was confused about why we find the areas of the three different parts of the cylinder, and how we do this."
" I found the integrals interesting because it matches up with what I am doing in math class right now. 
 The mathematical formulas that define abstract electrical concepts are really interesting. 
 i thought it was really cool to see the integrations and see how one subject goes to the other 
 I love math especially calculus so to see any type is always refreshing. I always enjoy seeing when both are involved in each other (I'm learning some physics in calc 3 right now too) 
 i found that the different charge densities were  interesting ","I found most interesting how we can use integration to determine the electric field
How the Calculus concepts were applied to extended charges (integrals, u-substitution)
The electric field diagrams were easy to learn and interesting.
I found the charge distribution problems most interesting today. I found it interesting because it can go the way you think, but also a different way if there are different factors.
I like when we do problems together in class as it gives us an example on how we should start the top hat questions when we have to do them individually."
" Collection of point charges (pairing them) 
 Equipotentials 
 I found equipotentials to be the most interesting thing, especially drawing a equipotentials for a dipole! 
 I think it's interesting how everything is related. A formula from before can be used to prove a new one. 
 The most interesting thing was that finding electric potential doesn't require a path, but only the magnitude of the charge and it's distance from the point of interest. ","I found equipotentials to be the most interesting thing, especially drawing a equipotentials for a dipole!
How we can calculate something so complicated as electrons passing through an area is very cool.
old concepts being brought back to explain new concepts
The most interesting thing was that finding electric potential doesn't require a path, but only the magnitude of the charge and it's distance from the point of interest.
I enjoyed learning more about the ex ey and es because it is similar to what I just learned tonight in calc 3 for solving integrations in third dimensions"
" I think the tophat questions overall were the most difficult part about class. 
 the binomial theorem 
 I feel like it would benefit me to hear more about the simple charge distributions. There were some parts of the videos that seemed a bit confusing to me and i had some struggles solving the second question on concept quiz 3. 
 I found the physical properties of the electric field to be confusing. Like specifically how it relates to electric force. 
 The example of a neutral wall having a net force towards a negatively charged balloon when the balloon is brought near the wall. ","I found the physical properties of the electric field to be confusing. Like specifically how it relates to electric force.
I was confused by how to calculate the moment for dipoles that are not in a uniform field.
I feel like it would benefit me to hear more about the simple charge distributions. There were some parts of the videos that seemed a bit confusing to me and i had some struggles solving the second question on concept quiz 3.
I think the tophat questions overall were the most difficult part about class.
The math behind why certain numbers can be considered 0 or a simpler version confused me."
" The math for me has always been confusing; however, it was explained thoroughly. 
 Elevator moving up and down and determine the force when it is moving different ways 
 I found one of the clicker questions confusing. It was the one with the ship slowing down with the wrench inside. 
 The part that I found confusing was the conceptual questions on top hat because I didn't understand why the wrench was moving the way it was. 
 I feel like the tension problem at the very end was confusing and I wanted to do more tension problems to fully understand it ","What was confusing for me today was the tug of war problem.  I was not sure about how it worked.  Although the explanation allowed me to understand it, i feel like i need more practice with types of problems like that.
I think some of the conceptual top hat questions were a bit confusing, jt was hard to relate the real life examples to the theory we learnedfrom the videos
I didn't understand the Newton's 2nd Law problems. I needed more explanation as to way objects appeared based on what they were relative .
The concept of inertial frames was confusing because I didn't understand why the wrench would appear to be accelerating forward but then i thought about what happens in a car and I got it.
 I was a little confused about the salami question when it was first shown, but the explanation helped."
" The calculus-based content needed more context a graph could've been helpful clearing up any confusion. I also feel like we could've done a few more practice problems about different “topics.” 
 There was a large amount of calculus in these videos with derivatives that I don't remember well. Therefore, the math was a little but hard to follow. Also, average and instantaneous velocities and speeds etc. start to blend together after a while and get to be harder to differentiate, especially in terms of what they mean conceptually. 
 Going in depth for more problems in class 
 nothing was really confusing, the lectures explained the material well 
 N/A; everything was explained well. I made some silly mistakes, but today's lecture reinforced the concepts that had slipped my mind. ","I am still confused on a part of the dinosaur problem we discussed. Does each dinosaur have to have its own positive and negative direction or can one be used for the whole system?
I thought using the kinematic equations on the more difficult questions was challenging. It was sometimes confusing to tell which equation to use.
 I didn't understand the circular motion aspect of today's lecture. I will watch the lectures for Friday but I might need more review Friday.
Also, average and instantaneous velocities and speeds etc. start to blend together after a while and get to be harder to differentiate, especially in terms of what they mean conceptually. 
 The calculus-based content needed more context a graph could've been helpful clearing up any confusion. I also feel like we could've done a few more practice problems about different “topics.”"
" I feel that the last question was pretty confusing during today's lecture. I believe that we should of spent more time talking through that question instead of rushing at the end of class and briefly going over it. 
 I found the top hat question about the two blocks hanging from the pulley the most confusing just because I understood it when I set the tensions equal to each other but not conceptually 
 I didn't find any of the material confusing or unclear, good lecture today 
 stacked bodys 
 The two blocks on a frictionless surface was very confusing ","I found the top hat question about the two blocks hanging from the pulley the most confusing just because I understood it when I set the tensions equal to each other but not conceptually 
 I feel that the last question was pretty confusing during today'slecture. I believe that we should of spent more time talking through that question instead of rushing at the end of class and briefly going over it.
I would like to see more example problems being done of static friction. More specifically how to use the static friction coefficient and how todevelop and form the equations needed to solve each problem because I am still struggling with that concept of physics. 
The problems were pretty difficult in terms of understanding the fbds and what is happening to the system and i wish there was more time given overall even for the conceptual questions
The thing that was confusing about today's lecture was he conceptual question about the different between push and pull in terms of force."
" i liked working with my group 
 histograms 
 It was interesting that the data was able to be analyzed with more than 2 sets of data. 
 I liked using the histogram to measure frequency, which occurs often in data. 
 When to use the different types of graphs ","I liked using the histogram to measure frequency, which occurs often in data.
Excel is such a powerful tool and can evaluate data so quickly. 
 I really liked how we got to spend a lot more time in breakout rooms because we could bounce our ideas off each other!
i liked working with my group
I liked how we had a lot of time to work on assignment 7."
" I thought that finding all the different unit conversions for the acre-feet was interesting 
 Best fit lines are very interesting. 
 Exam 
 nothing. 
 I enjoyed how we had a lot of time to work on our project for this upcoming week, I thought it could of used more explanation though. ","I liked that we got so much time to work with our team in class. It helped to get all of us on the same page.
I enjoyed how we had a lot of time to work on our project for thisupcoming week, I thought it could of used more explanation though.
Using physics concepts for A12 was nice.
I was interested by the variety of functions that excel can compute within itself.
 I found the instant volumetric flowrate calculations to be most interesting as I like calculus."
" I found that using the weighted decision matrix for our project was helpful and interesting. It is a new way to weigh ideas to make decisions. 
 Having the class time to work with team on coming up with a plan for these assignments 
 I'm really interested to see how weighted decision matrices can be used outside of engineering, even in making everyday decisions. It just seems like something very applicable to everyday life. 
 There was not much else besides the weighted matrix that was discussed in class, so bot much to report here 
 I liked the amount of time we had to work on A18 ","I found it interesting how we can use the weighted decision matrix and figure out which solution is best for our problem.
I found it most interesting to start prototyping and I think it will be fun picking out what final product we will use.
 Having the class time to work with team on coming up with a plan for these assignments
working on the design project and the in class activity
I liked the amount of time we had to work on A18"
