generation,oracle
"I was confused how to find work using an integral when one of the bounds was zero.
Trying to figure out what dq should equal while integrating
the last top hat question could've had more explanation. i was confused on how to set it up
Getting electric fields from electric potentials?
The concept addressed in the second concept question, regarding how fields are affected by other fields, was confusing.","The integral part and the last problem that we did. I am always confused about how to set up the problem.
The potential energy of the field was confusing.
the last top hat question could've had more explanation. i was confused on how to set it up
The concept addressed in the second concept question, regarding how fields are affected by other fields, was confusing.
Overall more examples, not necessarily solving but the setup, would be helpful as well as more explanation of dipoles and their potential energy"
"I am still a bit confused about why the voltage was negative in the first given example even though the voltage coming out of the battery is positive.
Problem 27.54 with the car motor problem was confusing. I did not understand what the starting motor does. Does it withdraw or add voltage? Does it act as a resistor or a battery? Otherwise your lectures were clear and concise as always.
The idea of grounding was confusing for me. I feel like seeing some more examples would be helpful.
some of the ideas about grounding were confusing, especially with the top hat, but i think i have the general  idea that a grounded circuit has a voltage drop of 0.
I found grounding to be very confusing; what does it mean for a circuit to be grounded?","The idea of grounding was confusing for me. I feel like seeing some more examples would be helpful.
Problem 27.54 with the car motor problem was confusing. I did not understand what the starting motor does. Does it withdraw or add voltage? Does it act as a resistor or a battery? Otherwise your lectures were clear and concise as always.
I am still a bit confused about why the voltage was negative in the first given example even though the voltage coming out of the battery is positive.
Current for the last top hat circuit question that was graded
Re-drawing circuit diagrams with grounds seems  to get complicated when multiple branches and resistors/capacitors are involved."
"I found the centripetal force problems to be very interesting. I usually enjoy relating centripetal force to conceptual ideas, so I enjoyed that part of the lecture.
I thought the question of whether throwing something was faster than terminal velocity was interesting
I found it interesting for the terminal velocity and the acceleration is zero
The terminal velocity question was also kinda cool because it explained why you can't just jump into water safely at large heights.
The fact that there can be acceleration when velocity is is constant fascinates me.","I found the centripetal force problems to be very interesting. I usually enjoy relating centripetal force to conceptual ideas, so I enjoyed thatpart of the lecture.
 The terminal velocity question was also kinda cool because it explained why you can't just jump into water safely at large heights. 
The most interesting thing in today's lecture was calculating the acceleration a person feels when they hit the water from jumping from an airplane.  It showed that the body cannot stand such a massive increasein acceleration .
 The first few top hat problems about the steel ball vs the ping pong ball. Interesting real life examples.
I found the explanation of drag force most interesting because it is a topic O have never covered before."
"The first problem on the test was interesting as it was a real life situation most have taken a part in.
The names of the football players were very interesting
The second question about the blocks was actually fun, I had done several like it while studying
Same as before
I enjoyed group tests simply because people can guide my ideas and help me get the answer.","The first problem on the test was interesting as it was a real life situation most have taken a part in.
The second question about the blocks was actually fun, I had done several like it while studying
The names of the football players were very interesting
There was no video to find anything interesting. The problems were interesting though
I enjoyed group tests simply because people can guide my ideas and help me get the answer."
"The top hat question about relative motion
1D motion, specifically question 4 from the concept quiz that we took yesterday
Probably the most confusing thing was when to use addition vs subtraction in relative motion. I can understand why each works, it just takes a bit of getting used to.
Relative motion was slightly confusing but not after explanation
For the rifle and the car example: why the bullet would land on top of the car again.","Probably the most confusing thing was when to use addition vs subtraction in relative motion. I can understand why each works, it just takes a bit of getting used to.
The monkey hunting problem. I felt that this part of the lecture was covered too fast. Specifically, I was a little confused about the relation between the two Delta Y equations (the monkey and bullet). I didn't understand this setup fully.
 the problem where we had to derive an equation with the shooting of the monkey as it was in free fall made absolutely no sense. I still dont really get it.
 need more clarification with the vector relative motion. more example problems 
I need to work on using the correct kinematics equation. The concept of relative motion is confusing, because I can't understand reference views."
"Just a quick review of when to use sin vs cos in vector math and which angles to apply, depending on which function is chosen (just because they are, technically, interchangeable)
How to stack the vectors from head to tail. When is it allowed, and when is it not?
I was confused about angle conversions in this lecture. I understand that you add based off of what quadrant the vector is in, but on an in-class example that rule didn't work, and I needed to subtract 360°.
Overall, the lecture was efficient and assessed everything that was taught throughout the online lecture videos. However, going a little slower throughout the problems to let students understand and catch up through every step will allow for more information absorption. Also, during the top hat questions, it could've been more informative to go over why the incorrect answers were actually wrong.
I was initially confused on how subtracting vectors worked but I figured it out","How the direction of a resultant vector compares to the value. I have trouble understanding their relationship.
How the right-hand rule can be manipulated to apply to the cross product and how unit vectors create a direction.
Something that was confusing about today's video lecture was how in some cases with inverse tangent, you must add 180 degrees to your answer. I understand that this can be seen with the graph of tangent, but I'm not sure how you know when you should trust your answer or know that u have to add 180 degrees.
Using Top Hat/getting used to using Top Hat was a bit confusing and tough. I wasn't always sure when to submit answers, how much time I had, and I had some trouble getting out of the zoom window quickly and to the Top Hat one. I think the more practice I get with it though the better I'll get at it.
Just a quick review of when to use sin vs cos in vector math and which angles to apply, depending on which function is chosen (just because they are, technically, interchangeable)"
"I find the bike share project very interesting.
I found it really interesting how much data was collected from the bikes, and how much information you can track down from one excel file.
Looking through the CoGo data on Excel and analyzing trends was very interesting.
I liked creating the problem set by picking out information from the email.
I found other students opinions on how CoGo Bike Share would find the solution we could come up with on how to solve there problem.","I also found learning about excel to be interesting.
 I had never heard of problem statements so that was interesting to learn.
How engineers look at data and decide on how to solve any issues they find from the data.
The detailed projects that make up the class
 I enjoyed meeting new people in my breakout rooms and seeing what they drew for the in class activity."
"nothing
The value of the grams of carbon dioxide per gallon of gasoline needed more accuracy from the slide in class to the slide for the in class activity.
Nothing was confusing
There was nothing confusing in today's class. It all made sense and was presented well.
I really did not find anything confusing today in class! I understood the assignments and everything about climate change.","At first it was a little confusing to calculate the grams per mile of CO2. 
The A13 environmental impact was somewhat confusing.
 The most confusing part today was the difference of the slide on zoom and the slide in the brightspace
Where to find the midterm feedback.
The in class activity was confusing as to what we were supposed to calculate."
"Nothing was confusing
I was confused if today's in class activity was the idea generation or the quiz we took.
I thought class was straightforward, on the quiz I put the y intercept because it did not specify but apparently that was incorrect. That is confusing to me.
The whiteboard feature in zoom online was fascinating. I had never seen something like that before.
Nothing was confusing.","on the quiz I put the y intercept because it did not specify but apparently that was incorrect. That is confusing to me.
I found the whiteboard brainstorming in class activity to be a little confusing as I wasn't entirely sure of what to draw and what not to.
We needed mor details on the assignment that is due next friday.
 More information on the low fidelity prototype 
The collaborative sketching attempt did not go well in class today. I wish we were explained how to make a collaborative sketch in breakout rooms."
"A clearer description for overflow/underflow bins in excel would have been useful.
Excel is still confusing to use.
I was confused by all the due dates and the way the bright space is set up. I forgot to do assignment A06 because it wasn't in the “To Do before class” category for class 4A
More in depth about how to make more complicated histograms
I had issues using excel with my Mac, couldn't find the bins option when making a histogram. I've been having similar problems while doing other assignments.","A clearer description for overflow/underflow bins in excel would have been useful.
The explanation of the way to format histograms was confusing as it was quick but didn't go over the more difficult stuff as well as I would have hoped.
I wish we saw the slide you were talking about that had al the due dates so we didn't have to find it later
The underflow and overflow was confusing for the bins.
The instructions for the in class assignment wasn't posted in the chat until near the end of the breakout room. This made the assignment difficult to complete."
